"Qualification","Experience","Rating","Place","Profile","Fees"
"MBBS, MD - Medicine",13,95,"Rohini Sector 24, Delhi","General Medicine",500
"BHMS, MS - Counselling & Psychotherapy",9,94,"Nallakunta, Hyderabad","Homeopath",200
"MBBS, MD - Medicine, Post Graduate Diploma in Diabetology (PGDD)",21,97,"Erragadda, Hyderabad","General Medicine",300
"BAMS",21,95,"Sun city, Hyderabad","Ayurveda",200
"MBBS, Diploma in Otorhinolaryngology (DLO)",10,95,"Whitefield, Bangalore","ENT Specialist",500
"BDS",44,100,"Tarnaka, Hyderabad","Dentist",200
"MD - Ayurveda Medicine, BAMS",8,95,"Muvattupuzha, Ernakulam","Ayurveda",100
"MBBS, DDV",12,100,"Ghatkopar East, Mumbai","Dermatologists",700
"MBBS, Masters in Clinical Dermatology",14,98,"Khan Market, Delhi","General Medicine",700
"MBBS",12,98,"Jakkur, Bangalore","General Medicine",400
"MBBS, MD - General Medicine, Post Graduate Diploma in Diabetology (PGDD)",10,95,"Sahakaranagar, Bangalore","General Medicine",300
"MBBS, MD - Dermatology",11,95,"Okhla, Delhi","Dermatologists",700
"MBBS, MD - Medicine, PGCC - Rheumatology, Post Graduate Course in Diabetology",10,99,"Malkajgiri, Hyderabad","General Medicine",300
"MBBS, MD - Opthalmology",12,96,"Abids, Hyderabad","General Medicine",300
"BAMS",24,95,"Vanasthalipuram, Hyderabad","Ayurveda",200
"BHMS",11,95,"Madhu Vihar, Delhi","Homeopath",200
"BAMS",11,95,"Doddanekundi, Bangalore","Ayurveda",300
"BAMS, MD - Kayachikitsalaya",23,95,"Gachibowli, Hyderabad","Ayurveda",400
"BHMS",17,95,"New Friends Colony, Delhi","Homeopath",100
"MBBS",40,95,"Santacruz West, Mumbai","General Medicine",200
"BDS",11,95,"Mylapore, Chennai","Dentist",100
"BDS, MDS - Periodontics, MS - Implantolgy, Implantology ICOI(USA)",24,98,"Marathahalli, Bangalore","Dentist",200
"MBBS, Diploma in Otorhinolaryngology (DLO)",16,95,"Rajajinagar, Bangalore","ENT Specialist",100
"MBBS, MD - Skin,VD & Leprosy",12,98,"Madhapur, Hyderabad","Dermatologists",400
"BHMS",8,100,"Paschim Vihar, Delhi","Homeopath",350
"BAMS, MD - Ayurveda Medicine",10,100,"Nungambakkam, Chennai","Ayurveda",500
"MBBS, MRCP (UK)",16,100,"Geeta Colony, Delhi","General Medicine",500
"BAMS",19,95,"Santacruz West, Mumbai","Ayurveda",200
"MBBS, MD - Dermatology , Venereology & Leprosy, DNB - Dermatology & Venereology",16,98,"CV Raman Nagar, Bangalore","Dermatologists",400
"MBBS, MS - Otorhinolaryngology, Diploma in Otorhinolaryngology (DLO)",32,95,"Tondiarpet, Chennai","ENT Specialist",350
"MBBS, DNB - Otorhinolaryngology",31,95,"Mahim, Mumbai","ENT Specialist",800
"BDS, MDS - Conservative Dentistry & Endodontics",10,100,"Mathikere - BEL, Bangalore","Dentist",200
"BHMS",18,95,"Madandapuram, Chennai","Homeopath",200
"BAMS",21,93,"Rajajinagar, Bangalore","Ayurveda",150
"BDS",12,98,"Manikonda, Hyderabad","Dentist",200
"BDS, MDS - Orthodontics",8,95,"Dwarka Sector 22, Delhi","Dentist",300
"MD - Dermatology , Venereology & Leprosy, MBBS",10,100,"Ecil, Hyderabad","Dermatologists",200
"BHMS",22,95,"Grant Road, Mumbai","Homeopath",500
"DM - Cardiology, MBBS",27,95,"Paschim Vihar, Delhi","General Medicine",550
"BHMS, Diploma in Diet and Nutrition",14,100,"Kandivali East, Mumbai","Homeopath",500
"MBBS, MD - Dermatology",7,97,"KPHB, Hyderabad","Dermatologists",500
"MBBS, Post Graduate Course in Diabetology, PGDHA, Certificate Course in Tuberculosis & Chest Diseases, Advanced Training Program in Diabetes Care, PhD in Liberal Studies in Diabetology (Trinity College)",23,91,"Indiranagar, Bangalore","General Medicine",500
"BAMS, MD - Ayurveda Medicine",23,95,"Jeedimetla, Hyderabad","Ayurveda",100
"BDS, MDS - Conservative Dentistry & Endodontics",12,100,"Tambaram East, Chennai","Dentist",100
"BDS, MDS - Conservative Dentistry & Endodontics",5,95,"Janak Puri, Delhi","Dentist",250
"MBBS, MD - Dermatology , Venereology & Leprosy",12,96,"Vadapalani, Chennai","Dermatologists",300
"MD - Dermatology , Venereology & Leprosy, MBBS",3,95,"Sarita Vihar, Delhi","Dermatologists",100
"MBBS, MS - ENT",0,95,"Banashankari, Bangalore","ENT Specialist",350
"MBBS, MD - Dermatology , Venereology & Leprosy",10,95,"Adyar, Chennai","Dermatologists",500
"BHMS",8,95,"Electronics City, Bangalore","Homeopath",450
"MBBS, DNB - Family Medicine, CCEDM, CCMTD, CCDR",21,95,"Indiranagar, Bangalore","General Medicine",500
"MBBS, DDV",13,95,"Tilak Nagar, Delhi","Dermatologists",400
"MBBS",43,95,"Greater Kailash Part 1, Delhi","General Medicine",100
"BDS, MDS - Oral & Maxillofacial Surgery",42,95,"Khar West, Mumbai","Dentist",200
"MD - Dermatology , Venereology & Leprosy",0,95,"Panampilly Nagar, Ernakulam","Dermatologists",500
"MBBS, Diploma in Dermatology",21,100,"Madipakkam, Chennai","Dermatologists",300
"MBBS, MD - Dermatology , Venereology & Leprosy",10,98,"Chattarpur, Delhi","Dermatologists",500
"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",9,95,"Mahim, Mumbai","Dentist",800
"LCEH",44,94,"Matunga, Mumbai","Homeopath",100
"MBBS, Diploma in Dermatology",36,95,"Kothaguda, Hyderabad","Dermatologists",100
"MBBS, DNB - ENT",17,100,"Kalkaji, Delhi","ENT Specialist",500
"BAMS, MD - Ayurveda Medicine",7,95,"Banjara Hills, Hyderabad","Ayurveda",500
"MBBS, MD - Dermatology , Venereology & Leprosy",10,95,"Bandra West, Mumbai","Dermatologists",100
"MBBS, MD - Medicine",44,95,"Paschim Vihar, Delhi","General Medicine",500
"BHMS, BSc - Zoology",10,95,"Chanda Nagar, Hyderabad","Homeopath",200
"MD - Homeopathy",32,95,"Royapettah, Chennai","Homeopath",100
"BAMS",36,95,"Wadala, Mumbai","Ayurveda",100
"BDS, MDS - Periodontics, MDS - Implantology",18,95,"Banjara Hills, Hyderabad","Dentist",300
"MBBS, MD - General Medicine",10,97,"Rajajinagar, Bangalore","General Medicine",450
"BDS, MDS - Paedodontics And Preventive Dentistry",9,95,"Hauz Khas, Delhi","Dentist",500
"BDS, MDS - Oral Medicine and Radiology",12,96,"Malleswaram, Bangalore","Dentist",100
"MBBS, Diploma in Otorhinolaryngology (DLO)",12,95,"Palarivattom, Ernakulam","ENT Specialist",200
"BAMS",45,95,"Malad East, Mumbai","Ayurveda",50
"MD - Homeopathy, BHMS",18,98,"Habsiguda, Hyderabad","Homeopath",400
"BAMS, MD - Ayurveda Medicine",31,95,"Vanasthalipuram, Hyderabad","Ayurveda",100
"BDS, MDS",12,100,"Gachibowli, Hyderabad","Dentist",100
"MBBS",42,95,"Thoraipakkam, Chennai","General Medicine",200
"MBBS, MD - Dermatology, DNB - Dermatology & Venereology, MRCP (UK)",8,95,"Malleswaram, Bangalore","Dermatologists",500
"MBBS, MD - Medicine",37,95,"Breach Candy, Mumbai","General Medicine",100
"BDS, MDS",10,95,"Vasant Kunj, Delhi","Dentist",500
"MBBS, MD - Obstetrics & Gynaecology, DGO",27,93,"Indiranagar, Bangalore","General Medicine",350
"MBBS, DNB - Dermatology & Venereology",15,95,"Safdarjung Enclave, Delhi","Dermatologists",100
"MBBS",39,95,"Mulund West, Mumbai","Dermatologists",100
"BAMS, MD - Ayurveda Medicine",20,95,"T Nagar, Chennai","Ayurveda",500
"MBBS, MD - Internal Medicine",33,95,"Shalimar Bagh, Delhi","General Medicine",100
"BHMS",6,95,"Vidyanagar, Bangalore","Homeopath",450
"MBBS, DDVL, MD-DVL",14,79,"Begur, Bangalore","Dermatologists",300
"Diploma in Diet and Nutrition, BHMS, Diploma in Beauty Therapy, Certificate Course In Cosmetic Dermatology & Lasers, PG Diploma In Clinical Cosmetology (PGDCC), PG Diploma in Trichology, Certificate in Botox ,Fillers , Threadlifts",10,99,"Ghatkopar East, Mumbai","Homeopath",500
"MBBS, DDV, FCPS - Mid. & Gynae",14,69,"Dahisar, Mumbai","Dermatologists",500
"BDS, MDS - Conservative Dentistry & Endodontics, Post-Graduate Certificate in Oral Implantology (PGCOI)",9,99,"Saligramam, Chennai","Dentist",300
"BHMS",18,95,"Mira Road, Mumbai","Homeopath",400
"BDS, MDS - Orthodontics",11,100,"Paschim Vihar, Delhi","Dentist",500
"BDS",21,95,"Ashok Vihar, Delhi","Dentist",500
"MD - Skin & VD, DNB - Dermatology & Venereology, DDV, MBBS",21,96,"Kandivali West, Mumbai","Dermatologists",700
"MBBS, MD - Acupuncture",31,95,"Secunderabad, Hyderabad","General Medicine",500
"MBBS, MD - General Medicine",28,95,"Vileparle West, Mumbai","General Medicine",100
"BDS",27,97,"West Marredpally, Hyderabad","Dentist",200
"BHMS",11,95,"Banashankari, Bangalore","Homeopath",200
"DHMS (Diploma in Homeopathic Medicine and Surgery)",18,95,"Janak Puri, Delhi","Homeopath",500
"MBBS, MS - ENT",0,95,"Ganapathy, Coimbatore","ENT Specialist",150
"BHMS",14,95,"Malleshpalya, Bangalore","Homeopath",400
"BDS",7,95,"Borivali West, Mumbai","Dentist",200
"MBBS, FRCP",31,95,"Gandhipuram, Coimbatore","General Medicine",250
"BAMS, Certificate in Child Health (CCH), CGO, CSD, CVD",13,95,"Andheri East, Mumbai","Ayurveda",100
"BHMS",27,95,"Karkhana, Hyderabad","Homeopath",300
"Fellowship in Aesthetic Medicine, MBBS, DDVL",4,95,"Pachalam, Ernakulam","Dermatologists",250
"MBBS, DNB - Dermatology & Venereology, Fellowship in Dermatological Laser Surgery, Fellowship in Dermatological Laser Surgery",14,96,"Greater Kailash Part 2, Delhi","Dermatologists",800
"MD - Homeopathy",13,90,"Borivali West, Mumbai","Homeopath",500
"MBBS, MD - General Medicine",12,72,"Horamavu, Bangalore","General Medicine",300
"BHMS",9,95,"Perumbavoor, Ernakulam","Homeopath",100
"BDS",5,95,"Vadavalli, Coimbatore","Dentist",100
"BAMS",16,95,"Parel, Mumbai","Ayurveda",50
"BHMS",10,95,"Nanganallur, Chennai","Homeopath",150
"MBBS",11,95,"Dwarka, Delhi","General Medicine",200
"MBBS, DNB - Internal Medicine, Fellowship in Diabetology, Post Graduate Diploma in Diabetology (PGDD), Advanced Certification in Clinical Diabetology, CCMTD",4,95,"Pusa Road, Delhi","General Medicine",100
"MBBS, DDV",24,100,"Vasant Kunj, Delhi","Dermatologists",100
"BAMS",19,98,"JP Nagar 3 Phase, Bangalore","Ayurveda",500
"BDS",11,95,"Vadavalli, Coimbatore","Dentist",100
"BAMS",16,95,"Janak Puri, Delhi","Ayurveda",200
"MBA - Hospital Management, BDS",16,95,"Avadi, Chennai","Dentist",250
"BAMS, MD - Ayurveda Medicine",33,95,"Sarjapur Road, Bangalore","Ayurveda",350
"BDS, MDS, MDS - Orthodontics",17,99,"HRBR Layout, Bangalore","Dentist",300
"BAMS",28,95,"Anna Nagar West, Chennai","Ayurveda",250
"MBBS, M.D. (Psychiatry)",19,98,"Sarjapur Road, Bangalore","General Medicine",100
"BAMS",15,95,"Andheri East, Mumbai","Ayurveda",100
"MBBS, MD - Dermatology , Venereology & Leprosy",6,95,"Kandivali West, Mumbai","Dermatologists",900
"BAMS",5,95,"Royapettah, Chennai","Ayurveda",300
"BDS, MDS",14,95,"Coimbatore Central, Coimbatore","Dentist",100
"MBBS",26,95,"Nagawara, Bangalore","General Medicine",100
"MBBS, DDV, DDVL",12,79,"Mayur Vihar Ph-I, Delhi","Dermatologists",500
"BDS",11,100,"Wilson Garden, Bangalore","Dentist",300
"BAMS",11,95,"Ramamurthy Nagar, Bangalore","Ayurveda",500
"MBBS, MD - Diabetology",6,95,"Madhapur, Hyderabad","General Medicine",500
"MBBS, DDV",19,95,"Jayanagar 9 Block, Bangalore","Dermatologists",250
"MBBS, Diploma in Otorhinolaryngology (DLO)",19,95,"BTM Layout, Bangalore","ENT Specialist",100
"BAMS, MBA",13,95,"Lajpat Nagar, Delhi","Ayurveda",150
"BAMS",6,95,"Lokhandwala, Mumbai","Ayurveda",300
"MBBS",36,100,"BTM Layout 1st Stage, Bangalore","General Medicine",200
"MBBS",14,95,"Tuglakabad, Delhi","General Medicine",700
"MBBS, MD - Internal Medicine",16,100,"Vidyaranyapura, Bangalore","General Medicine",200
"MBBS, MD - Dermatology, SCE Dermatology (RCP,UK)",5,95,"Kailash Colony, Delhi","Dermatologists",700
"MBBS, MNAMS - General Surgery",36,98,"Chromepet, Chennai","General Medicine",200
"MBBS, Diploma in Otorhinolaryngology (DLO), MS - ENT",17,76,"Charni Road, Mumbai","ENT Specialist",100
"BAMS",18,95,"Vanasthalipuram, Hyderabad","Ayurveda",50
"MDS, BDS",4,95,"Perumbavoor, Ernakulam","Dentist",100
"BDS, Post Graduate Diploma in Orthodontics",9,100,"Dilshad Garden, Delhi","Dentist",100
"MBBS, DNB - ENT",11,95,"Matunga, Mumbai","ENT Specialist",700
"BDS, MDS - Prosthodontics, Fellowship in Implantology",13,95,"Mylapore, Chennai","Dentist",500
"MBBS, DDVL",14,100,"Tiruvottiyur, Chennai","Dermatologists",250
"MBBS, Diploma in Otorhinolaryngology (DLO)",18,95,"Ullal Upanagara, Bangalore","ENT Specialist",200
"MBBS, DNB - ENT",16,95,"Alwarpet, Chennai","ENT Specialist",600
"MD - Internal Medicine, MBBS, Certificate Course in Management of Thyroid Disorder, CCD (Diabetology)",14,95,"Andheri West, Mumbai","General Medicine",800
"BHMS",25,95,"Malad West, Mumbai","Homeopath",700
"MDS - Paedodontics And Preventive Dentistry",0,95,"Anna Nagar West, Chennai","Dentist",150
"BDS",10,100,"Malad West, Mumbai","Dentist",300
"MBBS, MRCS (UK), MS - General Surgery, MCh - Cardio Thoracic and Vascular Surgery",15,90,"Rajouri Garden, Delhi","General Medicine",600
"BAMS",33,100,"Punjagutta, Hyderabad","Ayurveda",500
"MBBS, MD - General Medicine, DM - Gastroenterology",19,95,"Basavanagudi, Bangalore","General Medicine",300
"BDS, MDS - Prosthodontics",17,95,"Ramanathapuram, Coimbatore","Dentist",150
"BDS",16,100,"HSR Layout, Bangalore","Dentist",200
"MDS - Oral & Maxillofacial Surgery, BDS",21,95,"Kondapur, Hyderabad","Dentist",300
"BDS",14,99,"Vasant Kunj, Delhi","Dentist",200
"BAMS",13,97,"Green Park, Delhi","Ayurveda",100
"MBBS, MD - General Medicine",20,100,"Malakpet, Hyderabad","General Medicine",550
"MBBS, MS - ENT",33,95,"Vileparle East, Mumbai","ENT Specialist",800
"MS - ENT, FCPS - General Surgery, Diploma in Otorhinolaryngology (DLO), MBBS",37,95,"Vileparle West, Mumbai","ENT Specialist",100
"BHMS",7,100,"Rohini, Delhi","Homeopath",300
"BHMS, Certificate Course in Advanced Homoeopathy (C.C.A.H)",10,100,"Yelahanka, Bangalore","Homeopath",300
"MBBS, MD - Skin & VD, DNB - Dermatology & Venereology, Fellow of Academy of General Education (FAGE)",19,95,"Bandra West, Mumbai","Dermatologists",100
"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",6,100,"Bellandur, Bangalore","Dentist",100
"BDS, MDS - Periodontology and Oral Implantology, FICOI",21,98,"Kalyan Nagar, Bangalore","Dentist",100
"MBBS, Diploma in Dermatology, MD - Microbiology",25,95,"Mogappair East, Chennai","Dermatologists",200
"MBBS, Diploma in Otorhinolaryngology (DLO), MS - ENT",29,95,"KK Nagar, Chennai","ENT Specialist",400
"BHMS",5,100,"Sarjapur Road, Bangalore","Homeopath",100
"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",11,100,"Rajakilpakkam, Chennai","Dentist",200
"MBBS",37,95,"Choolaimedu, Chennai","General Medicine",100
"BDS, MDS - Periodontology and Oral Implantology",13,100,"Goregaon East, Mumbai","Dentist",100
"MD - General Medicine",9,95,"Andheri West, Mumbai","General Medicine",100
"MBBS",18,95,"Viveknagar, Bangalore","General Medicine",300
"BHMS",17,100,"Ambattur, Chennai","Homeopath",200
"BAMS",7,95,"Kadavanthra, Ernakulam","Ayurveda",300
"MBBS",42,95,"Pitampura, Delhi","General Medicine",300
"BAMS",43,95,"Wadala, Mumbai","Ayurveda",100
"BHMS",27,95,"Kandivali West, Mumbai","Homeopath",350
"MBBS, MD - Rheumatology, DM - Rheumatology",20,95,"Manapakkam, Chennai","General Medicine",600
"MBBS, Diploma in Acupuncture",33,95,"Vikas Puri, Delhi","General Medicine",100
"BDS, MDS - Conservative Dentistry & Endodontics",8,100,"Saket, Delhi","Dentist",500
"BDS, MDS - Pedodontics",11,95,"Miyapur, Hyderabad","Dentist",300
"MD - Ayurveda Medicine",3,95,"Mogappair East, Chennai","Ayurveda",200
"MD - Medicine, BAMS",31,91,"Kandivali West, Mumbai","General Medicine",100
"MBBS",4,95,"Ghatkopar East, Mumbai","General Medicine",300
"BDS, MDS - Paedodontics And Preventive Dentistry",10,82,"R.S. Puram, Coimbatore","Dentist",300
"MBBS, MS - ENT",35,95,"Secunderabad, Hyderabad","ENT Specialist",500
"MBBS, MS - Otorhinolaryngology",7,91,"Habsiguda, Hyderabad","ENT Specialist",300
"BDS, MDS",20,97,"Thammanam, Ernakulam","Dentist",200
"MD - General Medicine",26,95,"Borivali East, Mumbai","General Medicine",100
"MBBS, Diploma in Tropical Medicine Health, MRCP (UK), MSc",39,92,"Mehdipatnam, Hyderabad","General Medicine",300
"MBBS, Post Graduate Diploma in Maternity and Child Health (PGDMCH)",25,81,"Powai, Mumbai","General Medicine",300
"MBBS, MD - General Medicine",16,100,"Attapur, Hyderabad","General Medicine",300
"MBBS, MS - Otorhinolaryngology, DNB",28,95,"Dwarka, Delhi","ENT Specialist",400
"BDS, PhD - Orthodontics & Dentofacial Orthopaedics",23,99,"Nanganallur, Chennai","Dentist",100
"BDS, MDS - Prosthodontist And Crown Bridge",11,100,"Andheri West, Mumbai","Dentist",300
"DNB - ENT",4,95,"Andheri West, Mumbai","ENT Specialist",800
"BDS, Comprehensive Course in Modern Endodontics",19,97,"Vikas Puri, Delhi","Dentist",300
"BAMS",3,95,"Perurkada, Thiruvananthapuram","Ayurveda",200
"DHMS (Diploma in Homeopathic Medicine and Surgery)",30,95,"Ashok Vihar Phase 3, Delhi","Homeopath",250
"BHMS, MD - Homeopathy",12,95,"Anna Nagar, Chennai","Homeopath",300
"MBBS, MD - Dermatology, Fellowship in Dermatology",7,100,"Andheri West, Mumbai","Dermatologists",700
"BHMS, Certificate in Child Health (CCH), CGO",8,95,"Bhandup East, Mumbai","Homeopath",70
"Training in Facial Aesthetics, MS - Otorhinolaryngology",3,95,"Nungambakkam, Chennai","ENT Specialist",300
"BAMS, Certificate in Health Management",9,95,"Janak Puri, Delhi","Ayurveda",200
"MBBS, MS - ENT",21,60,"Dilshad Garden, Delhi","ENT Specialist",500
"MBBS",41,95,"Santacruz East, Mumbai","General Medicine",200
"BDS, MDS - Orthodontics",17,100,"Madinaguda, Hyderabad","Dentist",200
"BAMS, Post graduate diploma in Hospital Management",21,95,"Thiruvallom, Thiruvananthapuram","Ayurveda",100
"BDS",9,95,"Thoraipakkam, Chennai","Dentist",200
"BHMS",29,95,"Mayur Vihar Ph-II, Delhi","Homeopath",500
"MDS - Conservative Dentistry & Endodontics",13,99,"Ramanathapuram, Coimbatore","Dentist",100
"DNB - Dermatology & Venereology, Diploma in Dermatology",9,96,"Paschim Vihar, Delhi","Dermatologists",700
"BHMS",11,95,"Sakinaka, Mumbai","Homeopath",50
"BDS, Certificate in Dental Implants, FICOI, Certification in Aesthetic Dentistry",8,98,"Andheri West, Mumbai","Dentist",300
"BHMS",0,95,"Nallakunta, Hyderabad","Homeopath",500
"MD - Dermatology , Venereology & Leprosy, DNB, FCPS - Dermatology, Venereology & Leprosy, DDVL",7,97,"Walkeshwar, Mumbai","Dermatologists",100
"MDS - Prosthodontics, BDS",16,95,"Santosh Nagar, Hyderabad","Dentist",100
"MBBS, MD - Dermatology , Venereology & Leprosy",5,93,"Banjara Hills, Hyderabad","Dermatologists",500
"BHMS",20,95,"Pitampura, Delhi","Homeopath",300
"MBBS, Masters in Clinical Dermatology",25,100,"Defence Colony, Delhi","Dermatologists",400
"BDS, MDS - Prosthodontist And Crown Bridge",9,99,"Kadavanthra, Ernakulam","Dentist",250
"MBBS, MD - Dermatology",39,95,"Lower Parel, Mumbai","Dermatologists",100
"BDS",23,100,"Indiranagar, Bangalore","Dentist",400
"MDS - Oral Medicine and Radiology, BDS",17,100,"Perumbakkam, Chennai","Dentist",100
"MBBS, Fellowship of College of General Practice (FCGP)",39,93,"Tagore Garden, Delhi","General Medicine",300
"BHMS, MD - Homeopathy Psychiatry",12,95,"Andheri West, Mumbai","Homeopath",100
"BAMS",11,95,"Royapettah, Chennai","Ayurveda",300
"BDS",11,96,"Oshiwara, Mumbai","Dentist",500
"MBBS, MS - ENT",13,77,"Kukatpally, Hyderabad","ENT Specialist",300
"BAMS",43,95,"Mahim, Mumbai","Ayurveda",100
"MBBS, MD - Dermatology",0,79,"Malleswaram, Bangalore","Dermatologists",400
"BDS",20,91,"Bannerghatta Road, Bangalore","Dentist",200
"MBBS, MD - Internal Medicine",16,95,"Sahakaranagar, Bangalore","General Medicine",250
"MBBS, MD - Dermatology",18,94,"KPHB, Hyderabad","Dermatologists",400
"MBBS",14,67,"Indiranagar, Bangalore","General Medicine",650
"MBBS, MS - Otorhinolaryngology",31,95,"Saidabad, Hyderabad","ENT Specialist",200
"MBBS, Diploma in Otorhinolaryngology (DLO), MS - ENT",32,95,"Alwarthirunagar, Chennai","ENT Specialist",400
"MBBS, MS - ENT",12,100,"Koramangala 6 Block, Bangalore","ENT Specialist",300
"MBBS, MD - General Medicine",24,95,"Valasaravakkam, Chennai","General Medicine",100
"BDS, PGCAD, Fellow of Academy of General Education (FAGE)",10,98,"Ghatkopar East, Mumbai","Dentist",300
"MBBS, MD - General Medicine, DM - Gastroenterology",15,95,"Perambur, Chennai","General Medicine",200
"MBBS, MD - Dermatology , Venereology & Leprosy",19,95,"Vasant Kunj, Delhi","Dermatologists",100
"MBBS, MD - Dermatology",15,96,"Koramangala, Bangalore","Dermatologists",500
"MBBS, MS - General Surgery, MNAMS - General Surgery",40,95,"R.S. Puram, Coimbatore","General Medicine",150
"MD - Ayurveda Medicine, BAMS",9,95,"Balapur, Hyderabad","Ayurveda",200
"BDS, MDS - Pedodontics",7,95,"Mylapore, Chennai","Dentist",500
"MBBS, DGO",44,87,"Thiruvanmiyur, Chennai","General Medicine",300
"BAMS, D.Y.A",9,95,"Borivali West, Mumbai","Ayurveda",100
"BDS, MDS - Orthodontics",24,99,"Mylapore, Chennai","Dentist",200
"BHMS",3,100,"New Ashok Nagar, Delhi","Homeopath",300
"MBBS, MRCPS, MRCP (Paed)",30,95,"Alwarpet, Chennai","General Medicine",500
"BDS, MDS - Prosthodontist And Crown Bridge",9,100,"Laxmi Nagar, Delhi","Dentist",300
"MD - Dermatology , Venereology & Leprosy, MBBS",2,95,"Adyar, Chennai","Dermatologists",500
"BAMS",24,96,"Green Park, Delhi","Ayurveda",750
"MBBS, DDV",3,95,"Peddar Road, Mumbai","Dermatologists",500
"MBBS, MD - Dermatology , Venereology & Leprosy, DNB - Dermatology & Venereology, Diplomate American Academy of Aesthetic Medicne",18,91,"Dwarka, Delhi","Dermatologists",700
"BAMS",12,95,"Borivali West, Mumbai","Ayurveda",200
"MBBS, MD - Dermatology , Venereology & Leprosy, FRGUHS",9,96,"Sahakaranagar, Bangalore","Dermatologists",400
"BHMS",10,95,"Aya Nagar, Delhi","Homeopath",130
"BDS, MDS - Oral Medicine and Radiology, FICOI",32,100,"Adyar, Chennai","Dentist",400
"MS - Ayurveda, BAMS",2,100,"JP Nagar, Bangalore","Ayurveda",500
"BHMS, MD - Homeopathy",8,95,"Pitampura, Delhi","Homeopath",250
"MBBS",26,95,"Perungudi, Chennai","General Medicine",200
"MBBS, MD - Dermatology , Venereology & Leprosy",2,95,"Panampilly Nagar, Ernakulam","Dermatologists",500
"BAMS",19,88,"Lajpat Nagar, Delhi","Ayurveda",500
"MBBS, DDV",50,57,"Banaswadi, Bangalore","General Medicine",100
"BAMS",34,95,"Kandivali West, Mumbai","Ayurveda",100
"MBBS, MS - ENT, DNB - ENT",28,95,"Bellandur, Bangalore","ENT Specialist",650
"MBBS, MS - Urology, MCh - Urology/Genito-Urinary Surgery, DNB",36,95,"Kilpauk, Chennai","General Medicine",500
"MBBS, Diploma in Child Health (DCH), MD - Pediatrics, DM - Gastroenterology",27,95,"Chetpet, Chennai","General Medicine",500
"BDS",11,99,"Koramangala, Bangalore","Dentist",300
"MBBS, DDV",18,95,"Rohini, Delhi","Dermatologists",300
"MBBS, MS - ENT",22,95,"Nangloi, Delhi","ENT Specialist",300
"MBBS, M.D. (Psychiatry)",17,95,"Vanagaram, Chennai","General Medicine",500
"BDS, MDS",7,100,"Bhayandar West, Mumbai","Dentist",200
"BDS",4,95,"Kadavanthra, Ernakulam","Dentist",200
"BAMS, PG Diploma In Emergency Trauma Care, MD - Internal Medicine, MS - Counselling and Psychotherapy",35,95,"Rajajinagar, Bangalore","Ayurveda",100
"BHMS, FCAH (Fellow ship course in Advance Homoepath)",19,100,"Goregaon East, Mumbai","Homeopath",100
"BAMS",12,95,"Madinaguda, Hyderabad","Ayurveda",600
"MDS - Oral & Maxillofacial Surgery",18,95,"Saibaba Colony, Coimbatore","Dentist",150
"MBBS, MD - General Medicine, Post Graduate Diploma in Diabetology (PGDD)(Middlesex University, UK)",17,84,"Tolichowki, Hyderabad","General Medicine",200
"MBBS, Diploma in Practical Dermatology, Diploma in Dermatology, Diploma in Aesthetic Medicine",26,95,"West Marredpally, Hyderabad","Dermatologists",500
"BAMS, BAMS, MD - Ayurveda Medicine, Fellow of Academy of General Education (FAGE)",34,95,"Basaveshwaranagar, Bangalore","Ayurveda",200
"MBBS, Diploma in Otorhinolaryngology (DLO), MS - ENT, DNB - ENT",38,72,"Gachibowli, Hyderabad","ENT Specialist",700
"BDS, MDS - Periodontics",9,100,"Laxmi Nagar, Delhi","Dentist",300
"BDS",14,95,"Siddhapudur, Coimbatore","Dentist",150
"BAMS, MBBS, MD - Ayurveda Medicine",42,95,"Sasthamangalam, Thiruvananthapuram","Ayurveda",100
"BDS, Post-Graduate Certificate in Oral Implantology (PGCOI)",13,98,"Ashok Vihar, Delhi","Dentist",300
"MBBS, MD - Dermatology, DVD",30,95,"Vileparle West, Mumbai","Dermatologists",400
"MBBS, MD - Dermatology, DNB - Dermatology & Venereology",28,85,"Dadar, Mumbai","Dermatologists",800
"BHMS",14,95,"Jayanagar 4 Block, Bangalore","Homeopath",100
"BDS, PG Diploma In Clinical Cosmetology (PGDCC)",11,99,"Thoraipakkam, Chennai","Dentist",200
"MD - Dermatology, Diploma in Dermatology",17,95,"Kemps Corner, Mumbai","Dermatologists",100
"MBBS, MD - Internal Medicine",22,95,"Yakutpura, Hyderabad","General Medicine",200
"BDS, MDS - Conservative Dentistry & Endodontics",15,92,"Kondapur, Hyderabad","Dentist",250
"BAMS",33,96,"JP Nagar 7 Phase, Bangalore","Ayurveda",500
"MD - Dermatology, MBBS",33,95,"Mira Road, Mumbai","Dermatologists",400
"MBBS, MS - ENT",9,95,"Sampangiramnagar, Bangalore","ENT Specialist",200
"BDS",18,100,"Kasturi nagar, Bangalore","Dentist",200
"MBBS, MS - ENT",18,95,"Virugambakkam, Chennai","ENT Specialist",200
"MBBS, DDV",37,95,"JP Nagar 7 Phase, Bangalore","Dermatologists",400
"BHMS",20,99,"Shalimar Bagh, Delhi","Homeopath",500
